,location_key,longitude,latitude,nearest_intersection,floor_level,postal_code,dissemination_area
40,70454771,-79.477117566,43.704558176000006,Keele St / Milford Ave,1,M6M 2L7,35204460
42,77963457,-79.345735114,43.779634386000005,Godstone Rd / Fairview Mall Dr,002,M2J 2Z1,35200313
43,73592202,-79.220204136,43.73593906600001,Kingston Rd / Parkcrest Dr,1,M1M 2J1,35204333
45,69312912,-79.291298543,43.693144729,Thyra Ave / Dentonia Park Ave,009,M4C 1M6,35200643
46,72704709,-79.47097810300001,43.727071857,Winston Park Blvd / Deverell Cres,1,M3K 1E4,35202162
47,73485612,-79.56121560300001,43.734839939,Riverdale Dr / College St,1,M9V 1A4,35204376
48,70963906,-79.390657675,43.709615547,Mount Pleasant Rd / Roehampton Ave,004,M4P 1K5,35202655
50,78781905,-79.19059108100001,43.78783884,Military Trl / Pan Am Dr,1,M1C 1A4,35203700
51,60145464,-79.546491933,43.601412098,Horner Ave / Orianna Dr,001,M8W 2C2,35201587
52,65474600,-79.460048108,43.654707051,Parkside Dr / Keele St / Bloor St W,1,M6P 1B2,35201405
53,75593231,-79.323165235,43.755978891000005,Wallingford Rd / Ptarmigan Cres,1,M3A 2M8,35202750
54,76854163,-79.416320568,43.768523298000005,Beecroft Rd / Park Home Ave / Gibson Park Trl,004,M2N 5W4,35204920
55,78724700,-79.470089677,43.787283202,Dufferin St / Steeles Ave W,1,L4J 4H6,35190263
56,64454483,-79.448371367,43.64455264,Fern Ave / Roncesvalles Ave,1,M6R 2L5,35201350
57,69513034,-79.303480729,43.695129656000006,Lumsden Ave / Barrington Ave,1,M4C 5A2,35205013
58,65233229,-79.322920495,43.652348033,Unwin Ave / Leslie St / Martin Goodman Trl,1,M4M 3H9,35204750
59,81372163,-79.216307113,43.813763387,Troutbeck Ave / Pennyhill Dr,1,M1B 4R6,35204149
61,72904320,-79.432027465,43.72907163,Bathurst St / Old Orchard Grv,001,M6A 2C7,35202127
62,69295540,-79.554025372,43.692901499,Marblehead Rd / Northcrest Rd,001,M9R 1K8,35201807
63,73802608,-79.260893555,43.738092177,Rutledge Ave / Khartoum Ave,001,M1K 4G4,35204127
64,68394238,-79.423896556,43.683951315,Wychwood Ave / Louise Ave,001,M6C 1A9,35201105
65,65643840,-79.384060503,43.656435737,Bay St / Edward St,1,M5G 2C3,35204616
66,69784204,-79.420434283,43.697836266,Ava Rd / Glenayr Rd,B01,M5N 1B9,35202894
67,68414133,-79.413394288,43.684163501,St Clair Ave W / Tweedsmuir Ave,1,M5P 2X7,35204756
68,71833314,-79.331406395,43.718360232,Deauville Lane / St Dennis Dr,003,M3C 1C3,35202735
69,76284569,-79.456921639,43.762836792,Wilmington Ave / Overbrook Pl,003,M3H 4V7,35202101
70,65404004,-79.40042990100001,43.65405066100001,Kensington Ave / St Andrew St,001,M5T 2K2,35200892
71,73034829,-79.482979312,43.730343213000005,Keele St / Tilbury Dr,001,M3M 2G7,35202168
72,73584647,-79.46472495100001,43.735853232,Maniza Rd / Gilley Rd,001,M3K 1R6,35202162
74,76791883,-79.18837001899999,43.767929903,Lawrence Ave E / Florist Lane,1,M1E 2N3,35204287
75,63874462,-79.446219418,43.63871533,King St W / Queen St W / The Queensway / Roncesvalles Ave / Beaty Boulevard Parkette Trl,001,M6R 1B4,35201468
76,67183392,-79.339216088,43.671839381000005,Riverdale Ave / Kiswick St,002,M4J 1A7,35200704
77,65873899,-79.38998391,43.658701215,University Ave / Orde St,1,M5S 3M2,35204157
78,79813331,-79.33313206300001,43.798175527,Morecambe Gt / 51 Morecambe Gt,002,M1W 2K7,35203916
79,74125136,-79.513685277,43.741240045,Jane St / Clair Rd / Spenvalley Dr,004,M3L 2N1,35202071
80,65683756,-79.375666006,43.656820989,Dundas St E / Mutual St,001,M5B 1E5,35204612
81,66733816,-79.38163829199999,43.667372986,Church St / Gloucester St,012,M4Y 2C7,35204590
82,64815080,-79.508003135,43.648101533,Bloor St W / Grenview Blvd S,1,M8X 1C2,35201506
83,71574676,-79.467629198,43.715729143,Caledonia Rd / Leswyn Rd,1,M6A 2W5,35202295
84,72784406,-79.440672593,43.727828565,Ameer Ave / Baycrest Ave,1,M6A 1W4,35204800
85,65633686,-79.368620649,43.656320085,Seaton St / Shuter St,006,M5A 1S2,35204228
86,67775742,-79.57429876,43.677783098,Willowridge Rd / Winterset Cres,1,M9R 3V7,35204162
87,74424401,-79.44016241,43.744266621,Erica Ave / Palm Dr,1,M6A 2T9,35202141
88,72035191,-79.51911700699999,43.720383565,Jethro Rd / June Ave,001,M3L 1A2,35202090
89,65973575,-79.35755999,43.659769734,Labatt Ave / River St,1,M5A 1X6,35200805
90,66723737,-79.37377790800001,43.667295336,Wellesley St E / Bleecker St,1,M4X 1G3,35204567
91,69325046,-79.504671303,43.693244011,Weston Rd / Sidney Belsey Cres,003,M9N 3B3,35204421
92,69943908,-79.390880117,43.699492986,Davisville Ave / Pailton Cres,1,M4S 1C2,35204469
93,65143999,-79.399915808,43.651437323,Vanauley Walk / Grange Crt,006,M5T 1H5,35200890
94,69125079,-79.507982091,43.69120453,Westpoint Lane / Sidney Belsey Cres,008,M6M 5H6,35204231
95,69034625,-79.462506186,43.690397158,Keith Ave / Gilbert Ave,1,M6E 4Y2,35202212
96,69174718,-79.471833412,43.691726442,Richardson Ave / Lester Ave,1,M6M 3X7,35201213
97,72992920,-79.292071954,43.729972578,Ashtonbee Rd / Hakimi Ave,1,M1L 4C5,35203532
98,75132044,-79.20440557100001,43.751385195,Kingston Rd / Dale Ave,001,M1E 1N9,35203342
99,80053330,-79.33301047,43.80052551399999,Chester Le Blvd / Iangrove Ter,002,M1W 2H2,35200180
100,76851630,-79.163018275,43.768505572,Manaham Rd / Ravenview Dr,001,M1E 3Y3,35204771
101,66474374,-79.437438262,43.664715349,Dufferin St / Armstrong Ave,003,M6H 4B5,35201007
102,68444214,-79.421441761,43.684455399,Vaughan Rd / Louise Ave,001,M6C 4B3,35204533
103,76122794,-79.279457741,43.761298362,Kennedy Rd / Brigstock Rd,001,M1P 4V6,35204130
104,74554003,-79.400331842,43.745536151,Munro Blvd / Old Yonge St,B01,M2P 2E3,35202620
105,77464098,-79.409898844,43.774676165,Church Ave / Kenneth Ave,001,M2N 4G1,35204309
106,67843159,-79.315934626,43.678411337,Wildwood Cres / Hollywood Cres,B01,M4L 2B3,35203993
107,66454431,-79.443101255,43.664502716,Emerson Ave / Millicent St,1,M6H 1N7,35200949
108,63145706,-79.570613881,43.631453733,Markland Dr / Treeline Crt,002,L4X 2E2,35212118
110,72304234,-79.42340934,43.723093806,Bedford Park Ave / Ledbury St,002,M6A 2A3,35202386
111,70675511,-79.551126396,43.70672415600001,Islington Ave / Resources Rd / Islington N 401 C E Ramp,001,M9P 3P1,35201817
112,74685838,-79.583807272,43.746814212,Kipling Ave / Mount Olive Dr / Panorama Crt / Kipling Ave Bicycle Trl,1,M9V 3B2,35203061
113,65613701,-79.370122585,43.65616273,Sherbourne St / Shuter St / Moss Park Trl,005,M5A 2N7,35204245
114,69835113,-79.511315532,43.698342766,Weston Rd / Wright Ave / Wilby Cres,1,M9N 3B3,35204421
115,64143808,-79.380868707,43.641460543,York St / Lake Shore Blvd W,1,M5J 0B6,35204900
116,76115263,-79.526343016,43.761126858,Wheatsheaf Cres / Checkers Crt,1,M3N 1X1,35202058
117,64735601,-79.560147308,43.64739681,The East Mall / Montebello Gdns,1,M9B 3Z9,35204252
118,66364638,-79.463803719,43.663653669,Keele St / Annette St,1,M6P 1P3,35201376
119,75964781,-79.478188325,43.75962865100001,Chesswood Dr / Vanley Cres,1,M3J 2R8,35202098
120,77583377,-79.33775232,43.775832706,Sheppard Ave E / Yorkland Rd / Sheppard W 404 N Ramp / 404 N Sheppard W Ramp,1,M2J 0A7,35204905
121,77245113,-79.511399157,43.77244242,The Pond Rd / Ian Macdonald Blvd / Arboretum Lane / Shoreham Dr,001,M3J 1P3,35202013
123,66753998,-79.399836472,43.667516868,Bloor St W / St George St,999,M5S 1W7,35201036
124,74805080,-79.50805642600001,43.748078032,Arleta Ave / Grandravine Dr / Futura Parkette Trl,001,M3N 1J4,35204353
125,67023867,-79.386788062,43.670226387,Bloor St E / Yonge St / Bloor St W,1,M4Y 2B6,35202820
126,70964274,-79.427463106,43.709603565,Bathurst St / Prue Ave,004,M6B 2Y8,35202307
127,66093735,-79.373565182,43.660942697,Gerrard St E / Pembroke St / Allan Gardens Trl,1,M5A 2P2,35202840
128,75042475,-79.247569661,43.750400191,Arden Thorpe Rd / Miramar Cres / Kootenay Cres,B01,M1J 1T3,35203417
129,67654638,-79.463889603,43.676573953,Old Weston Rd / Rockwell Ave,1,M6N 1P8,35201197
130,69172618,-79.261818976,43.691786742,Birchmount Rd / Springbank Ave,001,M1N 1S2,35203253
131,75321979,-79.197934496,43.75321024,Toynbee Trl / Burnage Crt,1,M1E 1L8,35203322
132,68995637,-79.563767938,43.689956053,Feller Rd / Lavington Dr,1,M9R 2J2,35201787
133,74115801,-79.580123194,43.741178771,Penlea Ave / Taysham Cres,1,M9V 3A8,35204124
134,67263370,-79.337067401,43.672660679,Boultbee Ave / Jones Ave,001,M4J 3G4,35200719
135,62304979,-79.497900132,43.623095975,Oxford St / Wesley St,1,M8Y 1B7,35204678
136,77793112,-79.311206508,43.777980494,Sheppard Ave E / Palmdale Dr,1,M1T 1M6,35203590
137,75365772,-79.577294512,43.753620258000005,Rowntree Mill Rd / Emily Ave / Hathor Cres,1,M9L 1G9,35201880
138,63814215,-79.421581182,43.638110326,Jefferson Ave / Liberty St,1,M6K 3J1,35204220
139,66374652,-79.465229893,43.663781598,Annette St / Mavety St,001,M6P 1P3,35201376
140,59575425,-79.542560595,43.595768622,Brown's Line / Dover Dr,1,M8W 3S3,35201583
141,65203442,-79.344293015,43.652047785,Lake Shore Blvd E / Saulter St S,1,M4M 3P2,35204634
142,71345442,-79.544209622,43.713491739,Grierson Rd / Allenby Ave,1,M9W 1V4,35204939
143,70722353,-79.235385685,43.707215365,Bluffers Park Rd / Brimley Rd S,1,M1M 2K8,35203788
144,61905636,-79.56360349,43.619013123,The West Mall / Westside Dr,1,M9C 5H5,35204891
145,68624665,-79.466549242,43.686289517,Donald Ave / Silverthorn Ave,001,M6M 3P1,35201203
146,80332119,-79.211967464,43.803335753,Quantrell Trl / Wickson Trl / Lowry Sq,1,M1B 1M4,35205026
147,66043505,-79.350519238,43.660474154,Kintyre Ave / Broadview Ave,001,M4M 2E9,35204575
149,63743972,-79.397226754,43.63746415399999,Lake Shore Blvd W / Dan Leckie Way,017,M5V 3M8,35204656
151,67154483,-79.44830380100001,43.67155746,Davenport Rd / Lansdowne Ave,1,M6H 3Z6,35204632
152,71875184,-79.518429382,43.718761388,Wilson Ave / Jethro Rd,1,M3L 1A2,35202090
153,73635810,-79.581049273,43.73634816,Kendleton Dr / Warrendale Crt,003,M9V 3M5,35201854
154,64844023,-79.402363996,43.648411331000005,Ryerson Ave / Wolseley St,002,M5T 1A4,35200869
155,77644302,-79.430255343,43.776493999,Finch Ave W / Senlac Rd,1,M2N 2J2,35202583
156,74206260,-79.62607253,43.742084711,Huddersfield Rd / Claireville Dr,001,M9W 6V6,35203047
157,66803212,-79.321274637,43.668086499,Hiawatha Rd / Dundas St E,002,M4L 3B3,35200675
158,78173468,-79.346802227,43.781765295,Godstone Rd / Kempsell Cres,1,M2J 3C6,35204028
159,66944961,-79.4961619,43.66942185600001,Eileen Ave / Bernice Cres,1,M6N 4Z2,35201254
160,62705426,-79.54261819199999,43.62701453,Shorncliffe Rd / Bramshott Rd,1,M8Z 5K7,35201663
161,75003468,-79.346873385,43.750085792,Don Mills Rd / Kern Rd,002,M3B 3N1,35204278
162,75595242,-79.524287102,43.75592855399999,Finch Ave W / Oakdale Rd / Norfinch Dr,001,M3N 1N1,35204010
163,76744124,-79.412448572,43.767471751,Yonge St / Hillcrest Ave,B02,M2N 6C6,35204184
164,73015885,-79.588558312,43.730115182,Martin Grove Rd / Milkwood Ave,002,M9V 3S3,35201852
165,75891975,-79.197580126,43.758970298,Kingston Rd / Overture Rd / Payzac Ave,1,M1E 5B3,35203324
166,77432535,-79.253549694,43.774396555,Borough Dr / Town Centre Crt,1,M1P 0B2,35204863
167,80231407,-79.14072217399999,43.80238586,Kingston Rd / Graham Farm Lane,1,M1C 2P5,35203739
168,68034143,-79.41438833,43.680344456,Wells Hill Ave / Nina St,1,M5R 3E6,35201079
169,75734845,-79.484539689,43.757359037,Ceramic Rd / Ashwarren Rd,1,M3J 1N4,35202098
172,70594651,-79.465161708,43.705946209,Caledonia Rd / Lotherton Ptwy,010,M6B 3Y1,35202296
174,76974108,-79.410809262,43.769728786,Doris Ave / Empress Ave,009,M2N 6T3,35204198
175,73595564,-79.55643736,43.735915852,Calstock Dr / Allcroft Dr,B01,M9V 1A5,35204376
176,69976014,-79.60147424,43.699746422,Carlingview Dr / Disco Rd,1,M9W 5N4,35204479
177,72305063,-79.506344844,43.723025783,Epic Lane Rd / Smallwood Dr / William Cragg Dr,B01,M3M 1V1,35201964
178,74075760,-79.57604746199999,43.740785527,Honbury Rd / Benstrow Ave,B01,M9V 1T1,35201861
179,69835459,-79.545961884,43.69835951899999,Maplebranch Path,1,M9P 3M7,35205049
180,71783472,-79.347258366,43.717879292,Eglinton Ave E / Ibm Eglinton W Ramp,1,M4G 0B7,35204793
181,69303149,-79.314936831,43.693020704,Coleridge Ave / Lumsden Ave,999,M4C 4J2,35200516
182,63843922,-79.392226471,43.63845370600001,Spadina Ave / Lake Shore Blvd W / Lower Spadina Ave / Gardiner E Spadina Av Ramp / Waterfront Trl,1,M5V 3K8,35204656
183,72475104,-79.51042617,43.724772382,Chalkfarm Dr / Marlington Cres,001,M3L 2H9,35204956
185,69205688,-79.568806241,43.69200594,Dixon Rd / Dixon E 401 X E Ramp,1,M9R 2K4,35201789
186,76541994,-79.199472787,43.765447058,Lawrence Ave E / Overture Rd,008,M1E 1X2,35204291
187,61494886,-79.48866413,43.614949433,Lake Shore Blvd W / Superior Ave,1,M8V 4A2,35204686
188,79364092,-79.409256754,43.793629606,Centre Ave / Lillian St,1,M2M 2S5,35202498
189,66495191,-79.519161977,43.664909811,Royal York Rd / Edgehill Rd,1,M9A 3V3,35201698
190,66583849,-79.384953866,43.665840416,Yonge St / Dundonald St,011,M4Y 1Z8,35204598
191,66043758,-79.375899581,43.660439382,Jarvis St / Gerrard St E,1,M5B 1G7,35204610
192,79842733,-79.273366244,43.798407447,Brimley Rd / Huntingwood Dr,001,M1S 1K6,35200216
194,74926352,-79.635241423,43.749278816,Codlin Cres / Alcide St,001,M9W 5K7,35203042
195,79681971,-79.197180913,43.796854538000005,Morningside Ave / Morningside Ave N 401 C W Ramp,1,M1B 5N6,35204725
196,69114519,-79.45199481600001,43.691142641000006,Ennerdale Rd / Branstone Rd / Dynevor Rd,002,M6E 2H8,35202241
197,71333465,-79.34655896,43.713377198,Wicksteed Ave / Beth Nealson Dr,B02,M4H 1E7,35200545
198,78782763,-79.27637881300001,43.787855118,Rural Ave / Glen Watford Dr,1,M1S 1R6,35200218
199,77095434,-79.543448138,43.770920075,Steeles Ave W / Signet Dr,1,M9L 2T6,35201890
200,62224975,-79.497542762,43.622258859,Manitoba St / Wesley St,999,M8Y 1B7,35204678
201,65013690,-79.369074034,43.650100176,Front St E / Frederick St,1,M5A 3Z4,35200828
202,65834427,-79.442734027,43.658338411,Bloor St W / Lansdowne Ave,1,M6H 1N7,35200949
203,66213780,-79.378008143,43.662137202,Carlton St / Mutual St,1,M5B 2A4,35205060
204,75245705,-79.570521551,43.75247438,Aviemore Dr / Franel Cres,001,M9L 2E3,35201885
205,67864507,-79.45072809999999,43.678656562,Harvie Ave / Ascot Ave,1,M6E 1C3,35201158
206,74312189,-79.218913538,43.743182014,Markham Rd / Eglinton Ave E,1,M1J 3M5,35204344
207,75445309,-79.530904926,43.754436883,Finch Ave W / Finch 400 S Ramp,1,M3N 1X1,35202058
208,76182158,-79.215838124,43.761852042,Lawrence Ave E / Scarborough Golf Club Rd,999,M1G 1H7,35203352
209,75833355,-79.335598249,43.758318035,DVP / York Mills Rd / York Mills E Dvp N Ramp,999,M3A 3L6,35200400
210,68814459,-79.445913342,43.688105432,Genessee Ave / Westmount Ave,1,M6E 3N4,35201127
211,76655647,-79.56478429100001,43.766545388,Steeles Ave W / Fenmar Dr,1,M9L 1C8,35201890
212,77274557,-79.455744474,43.772739657,Ivan Nelson Dr / Robert Hicks Dr,1,M2R 2C1,35202554
213,66844390,-79.439035921,43.668464816,Dufferin St / Dupont St,1,M6H 2C8,35204630
214,82523002,-79.3002747318683,43.8252641769982,"STEELES AVE E, OLD KENNEDY RD",1,L3R 0L2,35190648
215,73482568,-79.256838556,43.734807051,Eglinton Ave E / Commonwealth Ave,1,M1K 2R5,35203965
216,63964369,-79.436931516,43.639602798,Jameson Ave / Laxton Ave,1,M6K 2Y3,35204662
217,65293980,-79.398049999,43.652944322,Spadina Ave / Dundas St W,1,M5T 1H1,35200864
218,65734032,-79.403200306,43.657382885,College St / Augusta Ave,1,M5T 1S5,35200894
219,72222817,-79.28170832100001,43.722273219,Manville Rd / Comstock Rd,999,M1L 2H6,35204989
221,64203811,-79.381112582,43.642059667,York St / Lakeshore W York St Ramp / York St Gardiner W Ramp,1,M5J 0E1,35205063
222,76115245,-79.524584725,43.761177283,Hullmar Dr / Bloomington Cres,B01,M3N 2G8,35202056
224,69302801,-79.280184336,43.693032284,Danforth Ave / Byng Ave,001,M1L 1B1,35200641
225,74782920,-79.29203053,43.747847007,Roselm Rd / Guild Hall Dr,1,M1R 2Z3,35200435
226,76825017,-79.501701803,43.768268286,Assiniboine Rd / Sentinel Rd,001,M3J 0L1,35202013
228,63854291,-79.42913565100001,43.638582782,King St W / Tyndall Ave,002,M6K 1G4,35204665
229,64904166,-79.41665403399999,43.649023605,Bellwoods Pk / Crawford St,002,M6J 2X5,35201440
230,77784150,-79.41508655199999,43.777890967,Yonge St / Holmes Ave,B01,M2N 7L3,35204885
231,77812814,-79.28147246,43.778149296,Village Green Sq,001,M1S 5C6,35200221
232,69564502,-79.450278981,43.695691999,Dufferin St / Eglinton Ave W,B01,M6E 2J3,35202243
233,69074434,-79.443441624,43.690776869,Glenholme Ave / Amherst Ave,997,M6E 2A2,35202232
234,67553969,-79.396941422,43.675552722,Avenue Rd / Pears Ave,005,M5R 2J6,35202813
235,66243586,-79.35868759,43.662415534,Oak St / River St,001,M5A 1X6,35200805
236,72444815,-79.481590042,43.724443237,Keele St / Sir William Hearst Ave / 401 C W Keele St Ramp / Keele St S 401 C W Ramp,1,M6L 3E7,35204391
237,71994834,-79.48341550800001,43.719913158,Falstaff Ave / Amber Cres,1,M6L 3E7,35204391
238,71784801,-79.480124747,43.717869355,Keele St / Rustic Rd,1,M6L 3E7,35204391
239,66143865,-79.386530558,43.661466848,Terauley Lane / Grenville St,007,M4Y 1X5,35204592
240,73992279,-79.227927937,43.739980975,Adanac Dr / Bellamy Rd S / McCowan District Park Trl,002,M1M 3N8,35203286
241,69265174,-79.517493129,43.692625394,Scarlett Rd / Alma Dr / Scarlettwood Crt,001,M9P 1E9,35202982
242,72523137,-79.313781178,43.725227663000005,Bermondsey Rd / Mobile Dr,1,M4A 1J8,35202722
243,66243767,-79.376716938,43.662418858,Carlton St / Jarvis St,1,M5B 1M1,35204586
245,76375136,-79.51362577100001,43.763704478,Driftwood Ave / Hoover Cres,1,M3N 2N6,35202049
246,76973038,-79.30384620000001,43.769769811,Warden Ave / 401 C E Warden N Ramp,1,M1T 1W9,35200243
247,79354020,-79.40203250100001,43.793566397,Maxome Ave / Northwood Dr,B01,M2M 2J1,35202508
248,68114504,-79.45042989,43.681125923,Nairn Ave / Hope St,001,M6E 1C2,35201145
249,77703579,-79.357999276,43.777076569,Glentworth Rd / Marowyne Dr,B01,M2J 2G3,35200289
250,65293769,-79.376951836,43.652917928,Queen St E / Bond St,1,M5C 1R8,35204995
251,68444883,-79.488311625,43.684401442,Syndicate Ave / Dennis Ave,002,M6N 2T7,35204450
252,74345874,-79.587448576,43.743446785,Stevenson Rd / Silverstone Dr,001,M9V 2C9,35203064
253,63685677,-79.567723278,43.636834074,Mayland Ave / Bridgetown Dr,B01,M9C 2P7,35204070
254,65643605,-79.36051378399999,43.656479486,Queen St E / St Paul St,001,M5A 3E5,35203176
255,66503682,-79.36829878100001,43.665057468,Aberdeen Ave / Parliament St,001,M4X 1P9,35200794
256,66924449,-79.44498290899999,43.669293125,Primrose Ave / Brandon Ave,002,M6H 2C7,35204632
257,73014620,-79.462028504,43.730167583,Anthony Rd / Ionic Lane,001,M3K 1E4,35202162
259,72993064,-79.306455629,43.72999982,Wigmore Dr / Elvaston Dr / Belper Crt,003,M4A 2B1,35200454
260,64633840,-79.384099925,43.646383707,University Ave / Wellington St W,1,M5J 1V6,35200855
261,74462560,-79.256011783,43.744616952,Deerfield Rd / Gully Dr,B01,M1K 4X5,35203411
262,74454922,-79.49224057100001,43.744598614,Sentinel Rd / Brookwell Dr / Streamdale Crt,1,M3J 3C8,35202029
263,66414594,-79.459456042,43.66413717100001,Indian Rd / Annette St,1,M6P 1C9,35201365
264,73812379,-79.237936316,43.738134767,McCowan Rd / Landmark Blvd,1,M1J 3P4,35204348
265,72793004,-79.300484743,43.727941857,Craigton Dr / Rannock St,1,M1L 2T3,35200470
266,73923131,-79.313186999,43.739278052,Knighton Dr / Murellen Cres,001,M4A 1T7,35200450
268,67823944,-79.394496464,43.678278592,Macpherson Ave / Molson St,1,M5R 1W8,35202812
269,67844102,-79.410261752,43.678484657,Walmer Rd / Austin Ter,001,M5R 1X9,35202809
270,70562664,-79.266453201,43.705685068,Parnell Ave / Jeavons Ave,001,M1K 1N7,35203502
271,64044288,-79.42883406,43.640419558000005,Melbourne Ave / Melbourne Pl,1,M6K 2J2,35204664
272,69475063,-79.506379682,43.694710449,Weston Rd / Clouston Ave,001,M9N 3B3,35204421
273,74775623,-79.562359692,43.747765067,Finch Ave W / Ardwick Blvd / Pearldale Ave,1,M9L 2G9,35201874
274,71595372,-79.53725355899999,43.715942139,Weston Rd / Albion Rd Weston Rd Ramp / Weston Rd S 401 C W Ramp,1,M9M 1A9,35201919
275,64763715,-79.371503385,43.647637143,Wilton St / Market St,007,M5E 1N1,35204650
277,77315263,-79.526371703,43.773115791,Hullmar Dr / Peter Kaiser Gt,1,M3N 1V5,35202059
278,64755868,-79.58683178,43.64752711,Rathburn Rd / Elmcrest Rd,1,M9C 1Y9,35201624
280,64213412,-79.34122115,43.64211312,Regatta Rd / Unwin Ave,1,M5A 1A1,35204634
281,66264038,-79.40386716,43.662699217,Harbord St / Robert St,001,M5S 1G6,35201032
282,78174465,-79.446578216,43.78174799399999,Antibes Dr / Plum Treeway,B01,M2R 1Y8,35202589
283,84622092,-79.209295949,43.846203821,Sewell's Rd / Steeles Ave E,1,M1X 1N6,35204712
285,77582200,-79.220015757,43.775895854,Newark Rd / Milford Haven Dr,996,M1G 3B5,35203361
286,66703451,-79.34519555899999,43.667094998,Gerrard St E / Logan Ave,999,M4M 1Y5,35204569
287,73785201,-79.520134384,43.737806673,Sheppard Ave W / Laura Rd,1,M3N 1C2,35202072
288,73255864,-79.58641719100001,43.732507397,John Garland Blvd / Jamestown Cres,1,M9V 4N4,35201854
289,70574873,-79.48738569,43.705706647,Culford Rd / Vanwyck Rd,003,M6L 3C9,35205053
290,73504034,-79.403452334,43.735054571000006,Doncliffe Dr / Forest Glen Cres,1,M4N 2N5,35204047
292,79084530,-79.453034635,43.790811803,Steeles Ave W / Torresdale Ave,001,M2R 3A7,35202535
294,68614038,-79.403883192,43.686144928,St Clair Ave W / Poplar Plains Rd,001,M4V 3A5,35202790
